algorithm,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2eq(kg),CO2eRate (kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
HPF-H-F,188321,4310824,19.323,224.45,219.08,4e-06,2.050659648004547e-07,0.0006897816362693,0.0010662918980612,0.0017560735343305,8
HPF-H-F,192881,7576174,3.618,370.9,330.66,1e-06,2.023739893072156e-07,0.0001760123652542,0.0002814597425931,0.0004574721078474,8
HPF-H-F,190120,7476752,1.209,365.25,293.9,1e-06,2.0395909015947485e-07,9.929278387860868e-05,0.0001555743157016,0.0002548670995802,8
HPF-H-F,192727,8388798,2.214,406.18,343.0,1e-06,2.026551797719029e-07,0.0001373864362979,0.0002188915293359,0.0003562779656339,8
HPF-H-F,192881,8529240,2.692,413.68,355.94,1e-06,2.0330177191281786e-07,0.0001551520943993,0.000245176228604,0.0004003283230034,8
HPF-H-F,192881,8192046,3.68,398.49,353.26,1e-06,2.029207585174967e-07,0.0001840958131098,0.0002923284467891,0.000476424259899,8
HPF-H-F,192881,8200770,3.611,397.46,352.72,1e-06,2.0713589458526125e-07,0.0001942857162617,0.0002927802198386,0.0004870659361004,8
HPF-H-F,192859,7474342,2.15,366.0,311.24,1e-06,2.189429059912387e-07,0.0001537210938101,0.0002026711846634,0.0003563922784735,8
HPF-H-F,192881,7094782,2.62,348.98,304.57,1e-06,2.1267517256196258e-07,0.0001584030245,0.0002236950101868,0.0003820980346869,8
HPF-H-F,76570,2326702,0.029,110.77,90.4,1e-06,2.22183103114504e-07,0.0001119727812448,0.0001427208697811,0.000254693651026,8
HPF-H-F,192857,9821482,2.46,467.87,390.77,1e-06,2.233435433579117e-07,0.0002114060135691,0.0002663299599536,0.0004777359735227,8
HPF-H-F,192881,7932216,3.231,387.42,340.16,1e-06,2.24293304527718e-07,0.0002176244338216,0.0002715040133461,0.0004891284471677,8
HPF-H-F,192881,10329030,10.851,493.61,463.79,3e-06,2.210435392170189e-07,0.0005396588639489,0.0006961399205391,0.0012357987844881,8
HPF-H-F,192881,7336978,2.801,360.01,312.83,1e-06,2.187240453276233e-07,0.0001850515033188,0.0002445548486497,0.0004296063519686,8
HPF-H-F,192881,7209104,3.454,354.41,314.99,1e-06,2.190772187989375e-07,0.0002057289909719,0.0002708714811227,0.0004766004720947,8
HPF-H-F,192879,8856946,1.968,425.83,353.99,1e-06,2.1874524474313745e-07,0.0001617978449937,0.000213771039305,0.0003755688842988,8
HPF-H-F,192881,7097152,3.282,348.99,310.76,1e-06,2.1826488170149045e-07,0.0001960346923831,0.0002603306636278,0.000456365356011,8
HPF-H-F,192881,6409486,1.523,317.23,264.56,1e-06,2.2095627354906546e-07,0.0001242274154929,0.000160354655282,0.0002845820707749,8
HPF-H-F,192881,7980326,2.746,388.21,336.84,1e-06,2.200743526600228e-07,0.0001878158316414,0.0002446996408193,0.0004325154724607,8
HPF-H-F,192881,8907790,2.782,429.94,369.13,1e-06,2.2020556585553334e-07,0.0001984598693233,0.0002582131062467,0.00045667297557,8
