implementation,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2e(kg),CO2eRate(kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
BK,1118,2242,0.000214792,84.4492,84.4492,4.401351314151592e-07,4.291427520573366e-06,1.209621462557051e-06,8.18775996774927e-08,1.2914990622345437e-06,8
MBK,1118,2242,0.000137208,84.7148,84.7148,4.398858893730009e-07,4.291461446572872e-06,1.208937499258253e-06,8.183020607987149e-08,1.2907677053381248e-06,8
MBK2,1118,2242,0.000210013,84.8047,84.8047,4.399952693968233e-07,4.291201038023005e-06,1.209233038955265e-06,8.1855622807628e-08,1.2910886617628928e-06,8
BK,1118,2256,0.000199501,84.5977,84.5977,4.3943792394337734e-07,4.29127336894168e-06,1.20770749118593e-06,8.174573845830463e-08,1.2894532296442348e-06,8
MBK,1118,2256,0.000137962,84.7227,84.7227,4.396631324265802e-07,4.291264576021947e-06,1.2083295318815445e-06,8.178453241119619e-08,1.2901140642927406e-06,8
MBK2,1118,2256,0.000248853,84.6016,84.6016,4.396791842690729e-07,4.291211544610841e-06,1.2083661225106985e-06,8.179504308808798e-08,1.2901611655987862e-06,8
BK,1118,2286,0.000226081,84.582,84.582,4.406385418557774e-07,4.291407763427639e-06,1.2110034624735515e-06,8.197276907916756e-08,1.292976231552719e-06,8
MBK,1118,2286,0.000142216,84.4609,84.4609,4.396401111338938e-07,4.2915691746556364e-06,1.208261979950799e-06,8.178453241119619e-08,1.290046512361995e-06,8
MBK2,1118,2286,0.000277821,84.7148,84.7148,4.398342394000287e-07,4.291386768645723e-06,1.208782692750295e-06,8.183345483454712e-08,1.2906161475848422e-06,8
BK,1118,2230,0.000186881,84.5898,84.5898,4.392330070268475e-07,4.291410451356726e-06,1.2071417437659371e-06,8.17101932600887e-08,1.2888519370260258e-06,8
MBK,1118,2230,0.000139523,84.7188,84.7188,4.388061798126799e-07,4.291428773449239e-06,1.2059680289692349e-06,8.163145873500829e-08,1.2875994877042432e-06,8
MBK2,1118,2230,0.000209866,84.7188,84.7188,4.401431075307977e-07,4.291166125429688e-06,1.2096580531862048e-06,8.186441355557387e-08,1.2915224667417787e-06,8
BK,1118,2372,0.000234711,84.582,84.582,4.393754387545351e-07,4.291492484764282e-06,1.2075357966952854e-06,8.173408116211555e-08,1.289269877857401e-06,8
MBK,1118,2372,0.00015584,84.7109,84.7109,4.39308784569166e-07,4.291690949721878e-06,1.2073331409030491e-06,8.174115198111549e-08,1.2890742928841643e-06,8
MBK2,1118,2372,0.000217353,84.5859,84.5859,4.387093757472098e-07,4.291582777358284e-06,1.205692191918691e-06,8.162324129671109e-08,1.287315433215402e-06,8
BK,1118,2252,0.000189345,84.6016,84.6016,4.396855675778016e-07,4.291343744595824e-06,1.2083970838122898e-06,8.178281248225027e-08,1.29017989629454e-06,8
MBK,1118,2252,0.000121602,84.4727,84.4727,4.391353683936835e-07,4.291236189226637e-06,1.2068743507067363e-06,8.169108293846726e-08,1.2885654336452035e-06,8
MBK2,1118,2252,0.000241168,84.7188,84.7188,4.40179616557449e-07,4.291432292181328e-06,1.2097453077634176e-06,8.188428829006019e-08,1.291629596053478e-06,8
BK,1118,2232,0.000197938,84.4727,84.4727,4.399336606197668e-07,4.291338584214673e-06,1.2090669737921822e-06,8.184090785997949e-08,1.2909078816521617e-06,8
MBK,1118,2232,0.000127489,84.5898,84.5898,4.404404399736039e-07,4.291571068822154e-06,1.2104517883724638e-06,8.19431480806543e-08,1.292394936453118e-06,8
MBK2,1118,2232,0.000214581,84.3477,84.3477,4.3985956429392507e-07,4.291364328794256e-06,1.208867132663727e-06,8.182332636408775e-08,1.2906904590278149e-06,8
BK,1118,2192,0.000206979,84.7109,84.7109,4.397374297337344e-07,4.2906617949060885e-06,1.2085181143548753e-06,8.181396230649322e-08,1.2903320766613685e-06,8
MBK,1118,2192,0.000128922,84.5859,84.5859,4.39548825167015e-07,4.290767956564762e-06,1.2079889575640365e-06,8.178969219803397e-08,1.2897786497620703e-06,8
MBK2,1118,2192,0.000208081,84.5352,84.5352,4.394393092887097e-07,4.2913868113632e-06,1.2077046765221491e-06,8.175261817408836e-08,1.2894572946962376e-06,8
BK,1118,2196,0.000203269,84.4766,84.4766,4.38881312566969e-07,4.290742895560988e-06,1.2061791287528146e-06,8.164082279260282e-08,1.2878199515454177e-06,8
MBK,1118,2196,0.000144411,84.4688,84.4688,4.39108883297946e-07,4.291467297467205e-06,1.2067983547846477e-06,8.168936300952134e-08,1.288487717794169e-06,8
MBK2,1118,2196,0.000218035,84.5977,84.5977,4.399405425398348e-07,4.28984934588345e-06,1.2091429697142708e-06,8.178510572084482e-08,1.2909280754351156e-06,8
BK,1118,2198,0.000183176,84.5586,84.5586,4.3918488038293154e-07,4.2915000548172605e-06,1.2070066399044462e-06,8.170407795716985e-08,1.288710717861616e-06,8
MBK,1118,2198,0.000113891,84.7109,84.7109,4.3962682998206563e-07,4.291479480862374e-06,1.208219759994083e-06,8.178778116587183e-08,1.2900075411599548e-06,8
MBK2,1118,2198,0.000205704,84.4727,84.4727,4.400129670919658e-07,4.291423534026347e-06,1.2092668149206377e-06,8.18737776131684e-08,1.2911405925338058e-06,8
BK,1118,2180,0.000186189,84.7188,84.7188,4.40076246763292e-07,4.2912723584952125e-06,1.209477914704217e-06,8.184836088541185e-08,1.291326275589629e-06,8
MBK,1118,2180,0.000117976,84.7891,84.7891,4.392620795138502e-07,4.291504559967343e-06,1.2072205543518067e-06,8.171669076944e-08,1.2889372451212468e-06,8
MBK2,1118,2180,0.000203782,84.4648,84.4648,4.399290775795256e-07,4.2915234329654285e-06,1.209050085809496e-06,8.184434771787134e-08,1.2908944335273672e-06,8
BK,1118,2226,0.000184474,84.7148,84.7148,4.394605303129085e-07,4.2910545408554806e-06,1.2077581551339892e-06,8.176140892203423e-08,1.2895195640560235e-06,8
MBK,1118,2226,0.000138438,84.5977,84.5977,4.398132379184969e-07,4.291361547678818e-06,1.2087461021211413e-06,8.180842031322299e-08,1.2905545224343644e-06,8
MBK2,1118,2226,0.000207478,84.6016,84.6016,4.398155406402656e-07,4.291473865424149e-06,1.208732028802236e-06,8.18292505637904e-08,1.2905612793660265e-06,8
BK,1118,2200,0.000208295,84.4961,84.4961,4.398414870394539e-07,4.2913376920360495e-06,1.2088108393881056e-06,8.182657511876339e-08,1.290637414506869e-06,8
MBK,1118,2200,0.000130937,84.6016,84.6016,4.397424332979553e-07,4.291469352076025e-06,1.208540631665124e-06,8.180612707462844e-08,1.2903467587397524e-06,8
MBK2,1118,2200,0.00023061,84.7188,84.7188,4.3962105697698086e-07,4.291363201659796e-06,1.2082056866751778e-06,8.17849146176286e-08,1.2899906012928064e-06,8
BK,1118,2214,0.000206748,84.5977,84.5977,4.398685229128298e-07,4.291272059171104e-06,1.2088924646377565e-06,8.182428188016884e-08,1.2907167465179252e-06,8
MBK,1118,2214,0.000153064,84.5938,84.5938,4.392883394660965e-07,4.2914712266119e-06,1.2072909209463331e-06,8.172337938200751e-08,1.2890143003283403e-06,8
MBK2,1118,2214,0.000206541,84.5977,84.5977,4.390160463682493e-07,4.291339930286102e-06,1.206533776389228e-06,8.168152777765652e-08,1.2882153041668846e-06,8
BK,1118,2236,0.000212302,84.5938,84.5938,4.394709691669776e-07,4.291606059647295e-06,1.2077863017718e-06,8.1763893263845e-08,1.289550195035645e-06,8
MBK,1118,2236,0.000121878,84.6016,84.6016,4.400797692129073e-07,4.291496272674329e-06,1.2094666560490927e-06,8.18699555488441e-08,1.2913366115979368e-06,8
MBK2,1118,2236,0.000227736,84.7148,84.7148,4.398352107016466e-07,4.2914062281754775e-06,1.2087939514054191e-06,8.182504629303368e-08,1.290618997698453e-06,8
BK,1118,2328,0.000201521,84.4648,84.4648,4.392189443530658e-07,4.2915829577108695e-06,1.207099523809221e-06,8.171114877616979e-08,1.288810672585391e-06,8
MBK,1118,2328,0.000136796,84.4648,84.4648,4.4176114935230244e-07,4.2910321507098365e-06,1.2140798899862502e-06,8.2190435642436e-08,1.296270325628686e-06,8
MBK2,1118,2328,0.00021701,84.7148,84.7148,4.397096895463237e-07,4.290910192184695e-06,1.208444933096568e-06,8.1805744868196e-08,1.2902506779647638e-06,8
BK,1118,2192,0.000214328,84.4766,84.4766,4.397952081089417e-07,4.29137530459016e-06,1.2086926235093012e-06,8.180899362287166e-08,1.290501617132173e-06,8
MBK,1118,2192,0.000115997,84.4336,84.4336,4.401349321927286e-07,4.289680484062215e-06,1.2096946438153586e-06,8.180383383603385e-08,1.2914984776513924e-06,8
MBK2,1118,2192,0.000209017,84.4727,84.4727,4.395892724458778e-07,4.291602274032896e-06,1.2081128027704027e-06,8.178453241119619e-08,1.2898973351815989e-06,8
BK,1118,2178,0.000200928,84.6016,84.6016,4.394629818496906e-07,4.291488093725387e-06,1.2077722284528945e-06,8.17545292062505e-08,1.289526757659145e-06,8
MBK,1118,2178,0.000141292,84.4766,84.4766,4.394309963372753e-07,4.290975938084607e-06,1.2076906032032437e-06,8.174229860041275e-08,1.2894329018036563e-06,8
MBK2,1118,2178,0.000196713,84.5977,84.5977,4.394531468190002e-07,4.2915419270855135e-06,1.207741267151303e-06,8.175663134162884e-08,1.2894978984929318e-06,8
BK,1118,2170,0.000191387,84.2891,84.2891,4.386787225343865e-07,4.291543154788501e-06,1.2056161959966026e-06,8.16092907619274e-08,1.28722548675853e-06,8
MBK,1118,2170,0.000116144,84.3984,84.3984,4.392443632573532e-07,4.291601379471424e-06,1.2071586317486234e-06,8.172662813668315e-08,1.2888852598853066e-06,8
MBK2,1118,2170,0.000229109,84.5977,84.5977,4.396926068762081e-07,4.291582217020396e-06,1.2083858251571656e-06,8.18147267193581e-08,1.2902005518765236e-06,8
BK,1118,2208,0.000189966,84.7188,84.7188,4.391219039424563e-07,4.290914669571354e-06,1.2068405747413635e-06,8.168534984198082e-08,1.2885259245833444e-06,8
MBK,1118,2208,0.000160633,84.6016,84.6016,4.4057228491165013e-07,4.291410178038875e-06,1.2108205093277826e-06,8.196130288619468e-08,1.2927818122139773e-06,8
MBK2,1118,2208,0.000226809,84.5938,84.5938,4.400382445409461e-07,4.291260949255674e-06,1.209348440170288e-06,8.186632458773604e-08,1.2912147647580242e-06,8
BK,1118,2256,0.000211114,84.6914,84.6914,4.397112823532337e-07,4.291614694477131e-06,1.20845056242413e-06,8.180478935211493e-08,1.2902553517762448e-06,8
MBK,1118,2256,0.000130613,84.6016,84.6016,4.398961328465817e-07,4.291361748268852e-06,1.208965645896064e-06,8.183211711203362e-08,1.2907977630080977e-06,8
MBK2,1118,2256,0.000205963,84.6016,84.6016,4.39524277073689e-07,4.2912773827894426e-06,1.2079467376073202e-06,8.17598800963045e-08,1.2897066177036246e-06,8
BK,1118,2240,0.000186669,84.5977,84.5977,4.391685857150346e-07,4.2914208134075255e-06,1.2069672346115112e-06,8.16956694156564e-08,1.2886629040271677e-06,8
MBK,1118,2240,0.000158474,84.5898,84.5898,4.399841383098085e-07,4.290663471887857e-06,1.2092217803001404e-06,8.183421924741197e-08,1.2910559995475523e-06,8
MBK2,1118,2240,0.000248311,84.5977,84.5977,4.392479219502362e-07,4.291496193868073e-06,1.207172705067529e-06,8.172299717557509e-08,1.2888957022431037e-06,8
BK,1118,2214,0.000211773,84.7188,84.7188,4.3989025287057513e-07,4.290925141984173e-06,1.208937499258253e-06,8.184300999535787e-08,1.290780509253611e-06,8
MBK,1118,2214,0.000120451,84.7227,84.7227,4.399899522795445e-07,4.290670289336405e-06,1.2092189656363594e-06,8.18540939818983e-08,1.2910730596182576e-06,8
