implementation,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2e(kg),CO2eRate(kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
EIBFS new2,23234,1372300,0.474376,89.5039,89.5039,1.445870576277473e-05,2.857999577533134e-05,1.594896692582934e-05,2.6477559840412826e-05,4.242652676624216e-05,32
EIBFS old,16194,941720,0.146755,89.4258,89.4258,5.888390676050171e-06,2.8627812557443445e-05,6.525460498143371e-06,1.0752985354923796e-05,1.7278445853067166e-05,32
EIBFS new,16194,941720,0.128575,89.7578,89.7578,5.902558844316939e-06,2.865690047163657e-05,6.557131079033829e-06,1.0762888769663447e-05,1.7320019848697274e-05,32
EIBFS new2,16194,941720,0.337119,89.6094,89.6094,1.1573108063851994e-05,2.8501935576000847e-05,1.2717822396469264e-05,2.124142589972138e-05,3.395924829619065e-05,32
EIBFS old,16322,948832,0.145673,89.5156,89.5156,5.902227011644721e-06,2.869591275200129e-05,6.566947475777907e-06,1.0752098668358202e-05,1.7319046144136107e-05,32
EIBFS new,16322,948832,0.126743,89.4297,89.4297,5.902456925201494e-06,2.8658163793754475e-05,6.556944412219878e-06,1.0762776372774852e-05,1.731972078499473e-05,32
EIBFS new2,16322,948832,0.254215,89.4609,89.4609,8.741751377154409e-06,2.8574806368584208e-05,9.64767438480299e-06,1.600345614318286e-05,2.565113052798585e-05,32
EIBFS old,18482,1081132,0.116579,101.246,95.3516,5.893162475509013e-06,2.862539643663944e-05,6.5377016190450166e-06,1.0754746239511805e-05,1.729244785855682e-05,32
EIBFS new,18482,1081132,0.0957228,89.4219,89.4219,5.865434803193662e-06,2.849107522921764e-05,6.449420992864219e-06,1.0761664892432067e-05,1.7211085885296286e-05,32
EIBFS new2,18482,1081132,0.192013,89.5117,89.5117,8.690689674989952e-06,2.839402265714969e-05,9.496256763663611e-06,1.6005042188166385e-05,2.550129895183e-05,32
EIBFS old,22466,1325308,0.202815,122.953,111.805,8.774585525221208e-06,2.86898252701923e-05,9.746568075025969e-06,1.6000908480374678e-05,2.5747476555400647e-05,32
EIBFS new,22466,1325308,0.175704,105.539,97.5801,5.948446260705474e-06,2.89002905656812e-05,6.693103410032597e-06,1.0761564984086648e-05,1.7454668394119246e-05,32
EIBFS new2,22466,1325308,0.403099,89.4961,89.4961,1.4416944607867815e-05,2.8490747987692485e-05,1.5819657377940527e-05,2.648432863081496e-05,4.230398600875548e-05,32
EIBFS old,15842,919732,0.0892952,89.6211,89.6211,5.854281298335299e-06,2.8432386499462075e-05,6.418903468450449e-06,1.0759454420289671e-05,1.7178357888740118e-05,32
EIBFS new,15842,919732,0.0715712,89.5977,89.5977,3.0546420534649007e-06,2.887038033128137e-05,3.447581924727328e-06,5.515727445346386e-06,8.963309370073713e-06,32
EIBFS old,14114,814000,0.142132,89.4805,89.4805,5.911081828828721e-06,2.871489858177541e-05,6.587597770075365e-06,1.075743127629494e-05,1.7345029046370304e-05,32
EIBFS new,14114,814000,0.124297,89.4883,89.4883,5.87366713306657e-06,2.852062592572957e-05,6.474089345936268e-06,1.0761152862161794e-05,1.723524220809806e-05,32
EIBFS new2,14114,814000,0.294264,89.4492,89.4492,1.1560004982721522e-05,2.8468144539074312e-05,1.2676301529922218e-05,2.124449808134301e-05,3.392079961126523e-05,32
EIBFS new2,15202,880932,0.122788,89.375,89.375,5.882710005173477e-06,2.859025268973744e-05,6.505132426323779e-06,1.0756644498074763e-05,1.7261776924398544e-05,32
