implementation,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2e(kg),CO2eRate(kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
HPF-H-L,192881,7932216,3.288,387.61,340.85,0.00018486623226,3.5559930678050335e-05,0.0002701642005756,0.0002722932143437,0.0005424574149193,8
HPF-H-L,192881,10329030,3.673,488.7,425.6,0.0002174099164328,3.5611052466436376e-05,0.0003181796937102,0.0003197714334599,0.0006379511271701,8
HPF-H-L,192881,7336978,2.953,360.38,316.58,0.0001698932539909,3.5525082603525185e-05,0.0002480386734307,0.0002504831725845,0.0004985218460153,8
HPF-H-L,192881,7209104,2.921,354.46,310.96,0.000166157651533,3.55092813716054e-05,0.000242480211484,0.0002450801667299,0.0004875603782139,8
HPF-H-L,192879,8856946,2.18,426.15,357.73,0.0001540366791665,3.563971571568947e-05,0.000225623449943,0.0002263700686239,0.000451993518567,8
HPF-H-L,192881,7097152,2.8,349.07,305.77,0.0001592336776552,3.5539439304866125e-05,0.0002325756641159,0.0002346675316422,0.0004672431957581,8
HPF-H-L,192881,6409486,1.433,317.23,263.11,0.0001060457755384,3.5691740419175896e-05,0.0001555616905603,0.0001556109695758,0.0003111726601362,8
HPF-H-L,192881,7980326,2.782,388.71,336.98,0.000167123036718,3.564553186000022e-05,0.0002448277719731,0.0002455653591209,0.0004903931310941,8
HPF-H-L,192881,8907790,2.867,430.76,370.81,0.0001776458970098,3.55887510265384e-05,0.000259827643973,0.0002614429682145,0.0005212706121875,8
HPF-H-L,192881,9411132,2.462,449.53,381.3,0.0001671252339044,3.559447731312484e-05,0.0002444818050297,0.0002459177733208,0.0004903995783506,8
HPF-H-L,22736,483884,0.102,89.35,89.35,1.099990102306219e-05,3.549092810311196e-05,1.606517090768124e-05,1.6212102234047166e-05,3.227727314172841e-05,8
HPF-H-L,192881,7104822,3.379,349.45,310.71,0.0001803200269783,3.548552163859064e-05,0.0002629669137066,0.0002661504621225,0.0005291173758292,8
HPF-L-F,185944,5087270,0.077,246.58,179.04,4.853645120836018e-05,3.570413648140417e-05,7.123854921301485e-05,7.118312255456375e-05,0.0001424216717675,8
HPF-L-F,185944,6364346,0.275,302.34,226.61,6.645926374037677e-05,3.558557579536913e-05,9.72071483212114e-05,9.780586170941348e-05,0.0001950130100306,8
HPF-L-F,185944,3312418,0.102,170.62,127.81,3.364320085579577e-05,3.566299672238341e-05,4.932956057472626e-05,4.939048982462282e-05,9.872005039934909e-05,8
HPF-L-F,185938,6527854,0.254,309.49,231.45,6.659020222686737e-05,3.556249976902275e-05,9.733732231423722e-05,9.805990365472752e-05,0.0001953972259689,8
HPF-L-F,185944,6022322,0.092,287.14,206.58,5.5888942875552975e-05,3.570014988196465e-05,8.201703339135065e-05,8.1979230849079e-05,0.0001639962642404,8
HPF-L-F,185944,5804998,0.091,275.22,195.42,5.230222670329831e-05,3.573792684737754e-05,7.683581924638506e-05,7.663585778812348e-05,0.0001534716770345,8
HPF-L-F,185944,6904190,0.285,325.28,242.4,7.056463787273294e-05,3.577891371391613e-05,0.0001037751469089,0.0001032843608075,0.0002070595077164,8
HPF-L-F,188321,3564218,0.056,180.91,131.02,3.386166629200343e-05,3.578173687756335e-05,4.98124665166081e-05,4.954863224687785e-05,9.936109876348596e-05,8
HPF-L-F,188321,4030834,0.104,204.64,149.77,4.099409454006455e-05,3.566259187906673e-05,6.010233169293812e-05,6.018762217967861e-05,0.0001202899538726,8
HPF-L-F,188321,3663790,0.052,183.26,133.53,3.382838644783724e-05,3.576446464331065e-05,4.973824117945024e-05,4.952520373987711e-05,9.926344491932732e-05,8
HPF-L-F,188321,3474670,0.05,179.36,128.45,3.366306351134204e-05,3.562488947114041e-05,4.930504499956086e-05,4.9473288865888775e-05,9.877833386544965e-05,8
HPF-L-F,188319,3771804,0.085,192.55,141.97,3.738028099669644e-05,3.572363041050706e-05,5.489889003018611e-05,5.478696417116851e-05,0.0001096858542013,8
HPF-L-F,187128,3547450,0.438,183.8,147.16,4.807513113316526e-05,3.571878389457904e-05,7.058939036035453e-05,7.047861885684199e-05,0.0001410680092171,8
HPF-L-F,188321,3664954,0.058,183.23,133.5,3.385737863183167e-05,3.5778774532567296e-05,4.9803531787236816e-05,4.954498559227006e-05,9.934851737950688e-05,8
HPF-L-F,188321,3595928,0.071,182.2,131.77,3.3853244339530924e-05,3.57755413344567e-05,4.979417289086192e-05,4.954221313568468e-05,9.93363860265466e-05,8
HPF-L-F,32736,444134,0.025,89.27,89.27,7.46730877509923e-06,3.561756471813575e-05,1.0949959037739527e-05,1.096154402598586e-05,2.191150306372539e-05,8
HPF-L-F,188321,3851734,0.06,196.42,140.47,3.748052286686007e-05,3.571958308009528e-05,5.504079681038082e-05,5.493919951250064e-05,0.0001099799963228,8
HPF-L-F,188265,3739682,0.114,191.17,140.96,3.738117043434195e-05,3.5701207348235975e-05,5.486508333647604e-05,5.482338076307371e-05,0.0001096884640995,8
HPF-L-F,188311,4121590,0.104,208.5,152.08,4.116913878663356e-05,3.5748280290202354e-05,6.049950006622659e-05,6.030409033335076e-05,0.0001208035903995,8
HPF-L-F,188321,3473044,0.049,179.39,128.47,3.377227622592422e-05,3.5691378447502083e-05,4.955708575674761e-05,4.9541713593957584e-05,9.90987993507052e-05,8
