implementation,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2e(kg),CO2eRate(kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
MBK,19714,1156200,0.282142,89.3398,89.3398,8.754424651087915e-06,2.861010078692729e-05,9.686635249302885e-06,1.6001682770051673e-05,2.568831801935456e-05,32
MBK2,19714,1156200,0.200545,89.4219,89.4219,8.708124684060489e-06,2.8643934019974743e-05,9.712795548004471e-06,1.6009687926228368e-05,2.572248347423284e-05,32
BK,23234,1372300,2.17511,116.695,115.518,6.582854865983276e-05,2.8528599016502293e-05,7.232092091224648e-05,0.0001208413667449,0.0001931622876571,32
MBK,23234,1372300,1.39566,89.4844,89.4844,4.29082949195916e-05,2.847638390105153e-05,4.700278593553105e-05,7.890405197708361e-05,0.0001259068379126,32
MBK2,23234,1372300,0.902765,101.156,99.9824,2.877552573156187e-05,2.859211725313598e-05,3.174153150431458e-05,5.269518314313189e-05,8.443671464744646e-05,32
BK,16194,941720,1.13216,89.4688,89.4688,3.4424866567627125e-05,2.853166193815653e-05,3.783545721278495e-05,6.31782536143632e-05,0.0001010137108271,32
MBK,16194,941720,0.770921,89.5586,89.5586,2.2997287688324623e-05,2.851868742801876e-05,2.526450910048106e-05,4.221698320373975e-05,6.748149230422081e-05,32
MBK2,16194,941720,0.504663,89.6172,89.6172,1.7318642438041942e-05,2.856893163027325e-05,1.909128860634948e-05,3.1727218873365365e-05,5.081850747971485e-05,32
BK,16322,948832,1.08913,89.4258,89.4258,3.4463490703521136e-05,2.8565373026043043e-05,3.795281425111874e-05,6.31742323034601e-05,0.0001011270465545,32
MBK,16322,948832,0.805691,89.3906,89.3906,2.5881746760500514e-05,2.855596096939098e-05,2.849202529360204e-05,4.745340438092427e-05,7.59454296745263e-05,32
MBK2,16322,948832,0.536012,89.3906,89.3906,1.729904388658145e-05,2.8542966806487585e-05,1.903425467183681e-05,3.172674430872462e-05,5.076099898056143e-05,32
BK,18482,1081132,0.635416,92.4883,92.0781,2.0209369638263143e-05,2.861267208981069e-05,2.232562063825965e-05,3.697521693007531e-05,5.9300837568334965e-05,32
MBK,18482,1081132,0.486231,89.4297,89.4297,1.72060263351098e-05,2.839212618481906e-05,1.876909140414995e-05,3.171896394632512e-05,5.048805535047507e-05,32
MBK2,18482,1081132,0.316712,89.457,89.457,1.1584043379986956e-05,2.853628953926981e-05,1.2749560477417349e-05,2.1241775578930345e-05,3.3991336056347694e-05,32
BK,22466,1325308,1.86127,112.867,111.638,5.451384640581671e-05,2.858312782212732e-05,6.008232584359813e-05,9.987895987685676e-05,0.0001599612857204,32
MBK,22466,1325308,1.27083,89.6445,89.6445,3.740586736740162e-05,2.862873744552668e-05,4.1342361684973405e-05,6.841857121701906e-05,0.0001097609329019,32
MBK2,22466,1325308,0.818505,97.793,96.8721,2.587456766070342e-05,2.854982750206285e-05,2.8473731945633657e-05,4.745063192433889e-05,7.592436386997254e-05,32
BK,15842,919732,0.35602,89.418,89.418,1.1637455320661302e-05,2.8676859183934588e-05,1.290904838278928e-05,2.1239015610888143e-05,3.414806399367742e-05,32
MBK2,15842,919732,0.180255,89.4102,89.4102,5.940080250268655e-06,2.884534390382936e-05,6.668604779321713e-06,1.076151502991394e-05,1.7430119809235653e-05,32
BK,14114,814000,1.13694,89.5156,89.5156,3.439934373847343e-05,2.850944925957789e-05,3.776211354299813e-05,6.317670503500921e-05,0.000100938818578,32
MBK,14114,814000,0.884718,89.6133,89.6133,2.5947677014439177e-05,2.8632303629870032e-05,2.8690643785828085e-05,4.744824661259202e-05,7.61388903984201e-05,32
BK,15202,880932,0.361064,89.3828,89.3828,1.16232540989702e-05,2.8634731719886773e-05,1.2866340848620428e-05,2.1240052159971868e-05,3.410639300859229e-05,32
MBK,15202,880932,0.282579,89.5,89.5,8.804428339200205e-06,2.877371827750996e-05,9.828778974128176e-06,1.6006266065397767e-05,2.5835045039525944e-05,32
MBK2,15202,880932,0.188845,89.4805,89.4805,8.66469732652105e-06,2.833143481109964e-05,9.424320317228537e-06,1.600070866368384e-05,2.542502898091237e-05,32
BK,23234,1372300,1.20298,116.781,114.684,3.735082282653212e-05,2.8582274760905944e-05,4.1170802381057525e-05,6.842861200573366e-05,0.0001095994143867,32
MBK,23234,1372300,0.840236,89.5586,89.5586,2.59091597301376e-05,2.858850005465498e-05,2.857684730590837e-05,4.744902090226902e-05,7.602586820817738e-05,32
MBK2,23234,1372300,0.546139,100.957,99.0469,1.738819896850017e-05,2.8689607615789307e-05,1.9297637938096163e-05,3.172497093559343e-05,5.102260887368959e-05,32
BK,14882,861532,0.397392,89.4609,89.4609,1.4442363899108402e-05,2.853700167215148e-05,1.5890661601410117e-05,2.6487912842706862e-05,4.237857444411698e-05,32
MBK,14882,861532,0.318788,89.4766,89.4766,1.1603689104084336e-05,2.8589285860563008e-05,1.281015469255936e-05,2.123882828274049e-05,3.404898297529985e-05,32
MBK2,14882,861532,0.215034,89.4531,89.4531,8.73551378429947e-06,2.854365045885012e-05,9.624176032667351e-06,1.6008651377144646e-05,2.5632827409812e-05,32
BK,19394,1137340,0.904538,97.2695,96.4844,2.872616451769253e-05,2.854186710226185e-05,3.159516610944102e-05,5.269670674539953e-05,8.429187285484055e-05,32
MBK,19394,1137340,0.708887,89.4102,89.4102,2.29850958321559e-05,2.8507268536446728e-05,2.5232855464043386e-05,4.221286198449121e-05,6.74457174485346e-05,32
MBK2,19394,1137340,0.450139,89.5664,89.5664,1.455949866453362e-05,2.8772056447601827e-05,1.6237357712094863e-05,2.648492808088747e-05,4.272228579298233e-05,32
BK,18050,1055104,1.43833,90.5664,90.5029,4.298661991458272e-05,2.8524618701186343e-05,4.7224936391032646e-05,7.89117324311377e-05,0.0001261366688221,32
MBK,18050,1055104,0.981617,89.4297,89.4297,2.87712995025662e-05,2.8581593894098667e-05,3.171611731731666e-05,5.27081962051227e-05,8.442431352243936e-05,32
MBK2,18050,1055104,0.639714,89.6055,89.6055,2.0264244464510166e-05,2.8687052786463428e-05,2.2485854377557457e-05,3.697600370829549e-05,5.946185808585294e-05,32
