PV(kW),Load(kW),nTraces,sol(keuro),time(sec),memAvg(MB),memPeak(MB),gpuAvg(MB),gpuPeak(MB),CO2e(kg),CO2eRate(kg/s),cpuEnergy(kW),gpuEnergy(kW),ramEnergy(kW),totEnergy(kW),country,region,cpuCount
"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.7  21.   32.6  27.3  43.3  56.6  62.5 110.4 137.6
 248.6 297.  273.1 290.2 399.3 535.  578.  461.4 587.  572.8 316.6 745.5
 740.5 791.4 694.  656.6 671.1 676.  670.4 694.1 390.4 742.2 681.5 460.9
 638.7 375.8 667.  533.  623.7 645.2 654.8 664.1 675.5 658.6 675.7 675.2
 428.9 328.7 587.  524.8 506.1 513.5 349.6 254.2 155.8 114.6 113.9 152.5
 301.1 230.   92.4  73.1  66.1  32.7  32.5  13.3  26.1  20.6  21.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[113.1 134.3 132.7 119.5 112.  131.3 112.5 118.9 134.3  92.1  94.8  99.9
 107.9 100.  124.4  91.5  92.2 110.6  84.5 115.8 112.2 106.3 110.3  99.5
 153.9 179.9 187.5 187.  267.4 340.2 387.3 384.5 317.1 456.2 264.1 345.
 296.5 419.4 315.2 272.9 302.9 411.3 290.7 295.  327.3 274.8 339.8 298.
 359.4 309.6 242.9 243.5 260.6 225.8 285.9 260.2 264.7 235.6 335.5 374.4
 410.1 341.9 302.  311.8 324.8 472.5 478.1 407.4 614.9 457.1 603.5 579.
 637.6 558.9 579.5 504.7 445.5 524.2 648.  461.8 449.  554.7 468.  448.5
 651.4 655.2 598.6 561.3 578.7 676.3 420.7 427.  399.7 364.5 335.9 237.5]",47,344.84,56.37,366.56,386.71,-1,-1,9.261186339057684e-06,4.307179666411228e-06,2.53836343685786e-05,0,1.7916866143544514e-06,2.7175320982933046e-05,Italy,emilia-romagna,8
"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.7  21.   32.6  27.3  43.3  56.6  62.5 110.4 137.6
 248.6 297.  273.1 290.2 399.3 535.  578.  461.4 587.  572.8 316.6 745.5
 740.5 791.4 694.  656.6 671.1 676.  670.4 694.1 390.4 742.2 681.5 460.9
 638.7 375.8 667.  533.  623.7 645.2 654.8 664.1 675.5 658.6 675.7 675.2
 428.9 328.7 587.  524.8 506.1 513.5 349.6 254.2 155.8 114.6 113.9 152.5
 301.1 230.   92.4  73.1  66.1  32.7  32.5  13.3  26.1  20.6  21.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[113.1 134.3 132.7 119.5 112.  131.3 112.5 118.9 134.3  92.1  94.8  99.9
 107.9 100.  124.4  91.5  92.2 110.6  84.5 115.8 112.2 106.3 110.3  99.5
 153.9 179.9 187.5 187.  267.4 340.2 387.3 384.5 317.1 456.2 264.1 345.
 296.5 419.4 315.2 272.9 302.9 411.3 290.7 295.  327.3 274.8 339.8 298.
 359.4 309.6 242.9 243.5 260.6 225.8 285.9 260.2 264.7 235.6 335.5 374.4
 410.1 341.9 302.  311.8 324.8 472.5 478.1 407.4 614.9 457.1 603.5 579.
 637.6 558.9 579.5 504.7 445.5 524.2 648.  461.8 449.  554.7 468.  448.5
 651.4 655.2 598.6 561.3 578.7 676.3 420.7 427.  399.7 364.5 335.9 237.5]",48,345.6,56.37,374.51,392.58,-1,-1,7.253287957811952e-06,4.307157959724509e-06,1.988028271330728e-05,0,1.4032139380772908e-06,2.128349665138457e-05,Italy,emilia-romagna,8
"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.7  21.   32.6  27.3  43.3  56.6  62.5 110.4 137.6
 248.6 297.  273.1 290.2 399.3 535.  578.  461.4 587.  572.8 316.6 745.5
 740.5 791.4 694.  656.6 671.1 676.  670.4 694.1 390.4 742.2 681.5 460.9
 638.7 375.8 667.  533.  623.7 645.2 654.8 664.1 675.5 658.6 675.7 675.2
 428.9 328.7 587.  524.8 506.1 513.5 349.6 254.2 155.8 114.6 113.9 152.5
 301.1 230.   92.4  73.1  66.1  32.7  32.5  13.3  26.1  20.6  21.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[113.1 134.3 132.7 119.5 112.  131.3 112.5 118.9 134.3  92.1  94.8  99.9
 107.9 100.  124.4  91.5  92.2 110.6  84.5 115.8 112.2 106.3 110.3  99.5
 153.9 179.9 187.5 187.  267.4 340.2 387.3 384.5 317.1 456.2 264.1 345.
 296.5 419.4 315.2 272.9 302.9 411.3 290.7 295.  327.3 274.8 339.8 298.
 359.4 309.6 242.9 243.5 260.6 225.8 285.9 260.2 264.7 235.6 335.5 374.4
 410.1 341.9 302.  311.8 324.8 472.5 478.1 407.4 614.9 457.1 603.5 579.
 637.6 558.9 579.5 504.7 445.5 524.2 648.  461.8 449.  554.7 468.  448.5
 651.4 655.2 598.6 561.3 578.7 676.3 420.7 427.  399.7 364.5 335.9 237.5]",49,345.6,57.7,376.03,396.04,-1,-1,7.377101502966285e-06,4.307157627378769e-06,2.021963546673457e-05,0,1.427170236905416e-06,2.1646805703639984e-05,Italy,emilia-romagna,8
"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.7  21.   32.6  27.3  43.3  56.6  62.5 110.4 137.6
 248.6 297.  273.1 290.2 399.3 535.  578.  461.4 587.  572.8 316.6 745.5
 740.5 791.4 694.  656.6 671.1 676.  670.4 694.1 390.4 742.2 681.5 460.9
 638.7 375.8 667.  533.  623.7 645.2 654.8 664.1 675.5 658.6 675.7 675.2
 428.9 328.7 587.  524.8 506.1 513.5 349.6 254.2 155.8 114.6 113.9 152.5
 301.1 230.   92.4  73.1  66.1  32.7  32.5  13.3  26.1  20.6  21.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[113.1 134.3 132.7 119.5 112.  131.3 112.5 118.9 134.3  92.1  94.8  99.9
 107.9 100.  124.4  91.5  92.2 110.6  84.5 115.8 112.2 106.3 110.3  99.5
 153.9 179.9 187.5 187.  267.4 340.2 387.3 384.5 317.1 456.2 264.1 345.
 296.5 419.4 315.2 272.9 302.9 411.3 290.7 295.  327.3 274.8 339.8 298.
 359.4 309.6 242.9 243.5 260.6 225.8 285.9 260.2 264.7 235.6 335.5 374.4
 410.1 341.9 302.  311.8 324.8 472.5 478.1 407.4 614.9 457.1 603.5 579.
 637.6 558.9 579.5 504.7 445.5 524.2 648.  461.8 449.  554.7 468.  448.5
 651.4 655.2 598.6 561.3 578.7 676.3 420.7 427.  399.7 364.5 335.9 237.5]",50,345.6,59.09,379.93,398.26,-1,-1,7.507617720056176e-06,4.307182670409384e-06,2.057733419868681e-05,0,1.4524483680725098e-06,2.202978256675932e-05,Italy,emilia-romagna,8
"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.7  21.   32.6  27.3  43.3  56.6  62.5 110.4 137.6
 248.6 297.  273.1 290.2 399.3 535.  578.  461.4 587.  572.8 316.6 745.5
 740.5 791.4 694.  656.6 671.1 676.  670.4 694.1 390.4 742.2 681.5 460.9
 638.7 375.8 667.  533.  623.7 645.2 654.8 664.1 675.5 658.6 675.7 675.2
 428.9 328.7 587.  524.8 506.1 513.5 349.6 254.2 155.8 114.6 113.9 152.5
 301.1 230.   92.4  73.1  66.1  32.7  32.5  13.3  26.1  20.6  21.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[113.1 134.3 132.7 119.5 112.  131.3 112.5 118.9 134.3  92.1  94.8  99.9
 107.9 100.  124.4  91.5  92.2 110.6  84.5 115.8 112.2 106.3 110.3  99.5
 153.9 179.9 187.5 187.  267.4 340.2 387.3 384.5 317.1 456.2 264.1 345.
 296.5 419.4 315.2 272.9 302.9 411.3 290.7 295.  327.3 274.8 339.8 298.
 359.4 309.6 242.9 243.5 260.6 225.8 285.9 260.2 264.7 235.6 335.5 374.4
 410.1 341.9 302.  311.8 324.8 472.5 478.1 407.4 614.9 457.1 603.5 579.
 637.6 558.9 579.5 504.7 445.5 524.2 648.  461.8 449.  554.7 468.  448.5
 651.4 655.2 598.6 561.3 578.7 676.3 420.7 427.  399.7 364.5 335.9 237.5]",51,345.6,60.66,382.61,401.07,-1,-1,7.87383537717104e-06,4.307166471141755e-06,2.1581108040279813e-05,0,1.5232757727305097e-06,2.3104383813010323e-05,Italy,emilia-romagna,8
"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.7  21.   32.6  27.3  43.3  56.6  62.5 110.4 137.6
 248.6 297.  273.1 290.2 399.3 535.  578.  461.4 587.  572.8 316.6 745.5
 740.5 791.4 694.  656.6 671.1 676.  670.4 694.1 390.4 742.2 681.5 460.9
 638.7 375.8 667.  533.  623.7 645.2 654.8 664.1 675.5 658.6 675.7 675.2
 428.9 328.7 587.  524.8 506.1 513.5 349.6 254.2 155.8 114.6 113.9 152.5
 301.1 230.   92.4  73.1  66.1  32.7  32.5  13.3  26.1  20.6  21.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[113.1 134.3 132.7 119.5 112.  131.3 112.5 118.9 134.3  92.1  94.8  99.9
 107.9 100.  124.4  91.5  92.2 110.6  84.5 115.8 112.2 106.3 110.3  99.5
 153.9 179.9 187.5 187.  267.4 340.2 387.3 384.5 317.1 456.2 264.1 345.
 296.5 419.4 315.2 272.9 302.9 411.3 290.7 295.  327.3 274.8 339.8 298.
 359.4 309.6 242.9 243.5 260.6 225.8 285.9 260.2 264.7 235.6 335.5 374.4
 410.1 341.9 302.  311.8 324.8 472.5 478.1 407.4 614.9 457.1 603.5 579.
 637.6 558.9 579.5 504.7 445.5 524.2 648.  461.8 449.  554.7 468.  448.5
 651.4 655.2 598.6 561.3 578.7 676.3 420.7 427.  399.7 364.5 335.9 237.5]",52,344.84,61.81,387.2,407.16,-1,-1,7.809536929267646e-06,4.307181418202985e-06,2.1404853794309836e-05,0,1.5108575423558554e-06,2.2915711336665688e-05,Italy,emilia-romagna,8
"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.7  21.   32.6  27.3  43.3  56.6  62.5 110.4 137.6
 248.6 297.  273.1 290.2 399.3 535.  578.  461.4 587.  572.8 316.6 745.5
 740.5 791.4 694.  656.6 671.1 676.  670.4 694.1 390.4 742.2 681.5 460.9
 638.7 375.8 667.  533.  623.7 645.2 654.8 664.1 675.5 658.6 675.7 675.2
 428.9 328.7 587.  524.8 506.1 513.5 349.6 254.2 155.8 114.6 113.9 152.5
 301.1 230.   92.4  73.1  66.1  32.7  32.5  13.3  26.1  20.6  21.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[113.1 134.3 132.7 119.5 112.  131.3 112.5 118.9 134.3  92.1  94.8  99.9
 107.9 100.  124.4  91.5  92.2 110.6  84.5 115.8 112.2 106.3 110.3  99.5
 153.9 179.9 187.5 187.  267.4 340.2 387.3 384.5 317.1 456.2 264.1 345.
 296.5 419.4 315.2 272.9 302.9 411.3 290.7 295.  327.3 274.8 339.8 298.
 359.4 309.6 242.9 243.5 260.6 225.8 285.9 260.2 264.7 235.6 335.5 374.4
 410.1 341.9 302.  311.8 324.8 472.5 478.1 407.4 614.9 457.1 603.5 579.
 637.6 558.9 579.5 504.7 445.5 524.2 648.  461.8 449.  554.7 468.  448.5
 651.4 655.2 598.6 561.3 578.7 676.3 420.7 427.  399.7 364.5 335.9 237.5]",53,344.84,63.18,391.23,410.13,-1,-1,7.88548254880786e-06,4.307166457659188e-06,2.16130319568846e-05,0,1.5255284309387207e-06,2.313856038782332e-05,Italy,emilia-romagna,8
"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.7  21.   32.6  27.3  43.3  56.6  62.5 110.4 137.6
 248.6 297.  273.1 290.2 399.3 535.  578.  461.4 587.  572.8 316.6 745.5
 740.5 791.4 694.  656.6 671.1 676.  670.4 694.1 390.4 742.2 681.5 460.9
 638.7 375.8 667.  533.  623.7 645.2 654.8 664.1 675.5 658.6 675.7 675.2
 428.9 328.7 587.  524.8 506.1 513.5 349.6 254.2 155.8 114.6 113.9 152.5
 301.1 230.   92.4  73.1  66.1  32.7  32.5  13.3  26.1  20.6  21.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[113.1 134.3 132.7 119.5 112.  131.3 112.5 118.9 134.3  92.1  94.8  99.9
 107.9 100.  124.4  91.5  92.2 110.6  84.5 115.8 112.2 106.3 110.3  99.5
 153.9 179.9 187.5 187.  267.4 340.2 387.3 384.5 317.1 456.2 264.1 345.
 296.5 419.4 315.2 272.9 302.9 411.3 290.7 295.  327.3 274.8 339.8 298.
 359.4 309.6 242.9 243.5 260.6 225.8 285.9 260.2 264.7 235.6 335.5 374.4
 410.1 341.9 302.  311.8 324.8 472.5 478.1 407.4 614.9 457.1 603.5 579.
 637.6 558.9 579.5 504.7 445.5 524.2 648.  461.8 449.  554.7 468.  448.5
 651.4 655.2 598.6 561.3 578.7 676.3 420.7 427.  399.7 364.5 335.9 237.5]",54,344.84,64.63,399.08,418.35,-1,-1,8.003952716510297e-06,4.307170240321829e-06,2.1937742829322816e-05,0,1.5484474102656049e-06,2.348619023958842e-05,Italy,emilia-romagna,8
"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.7  21.   32.6  27.3  43.3  56.6  62.5 110.4 137.6
 248.6 297.  273.1 290.2 399.3 535.  578.  461.4 587.  572.8 316.6 745.5
 740.5 791.4 694.  656.6 671.1 676.  670.4 694.1 390.4 742.2 681.5 460.9
 638.7 375.8 667.  533.  623.7 645.2 654.8 664.1 675.5 658.6 675.7 675.2
 428.9 328.7 587.  524.8 506.1 513.5 349.6 254.2 155.8 114.6 113.9 152.5
 301.1 230.   92.4  73.1  66.1  32.7  32.5  13.3  26.1  20.6  21.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[113.1 134.3 132.7 119.5 112.  131.3 112.5 118.9 134.3  92.1  94.8  99.9
 107.9 100.  124.4  91.5  92.2 110.6  84.5 115.8 112.2 106.3 110.3  99.5
 153.9 179.9 187.5 187.  267.4 340.2 387.3 384.5 317.1 456.2 264.1 345.
 296.5 419.4 315.2 272.9 302.9 411.3 290.7 295.  327.3 274.8 339.8 298.
 359.4 309.6 242.9 243.5 260.6 225.8 285.9 260.2 264.7 235.6 335.5 374.4
 410.1 341.9 302.  311.8 324.8 472.5 478.1 407.4 614.9 457.1 603.5 579.
 637.6 558.9 579.5 504.7 445.5 524.2 648.  461.8 449.  554.7 468.  448.5
 651.4 655.2 598.6 561.3 578.7 676.3 420.7 427.  399.7 364.5 335.9 237.5]",55,344.84,66.0,399.51,422.82,-1,-1,8.123678402320146e-06,4.30716608165269e-06,2.226589322090149e-05,0,1.571610967318217e-06,2.3837504188219707e-05,Italy,emilia-romagna,8
"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.7  21.   32.6  27.3  43.3  56.6  62.5 110.4 137.6
 248.6 297.  273.1 290.2 399.3 535.  578.  461.4 587.  572.8 316.6 745.5
 740.5 791.4 694.  656.6 671.1 676.  670.4 694.1 390.4 742.2 681.5 460.9
 638.7 375.8 667.  533.  623.7 645.2 654.8 664.1 675.5 658.6 675.7 675.2
 428.9 328.7 587.  524.8 506.1 513.5 349.6 254.2 155.8 114.6 113.9 152.5
 301.1 230.   92.4  73.1  66.1  32.7  32.5  13.3  26.1  20.6  21.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[113.1 134.3 132.7 119.5 112.  131.3 112.5 118.9 134.3  92.1  94.8  99.9
 107.9 100.  124.4  91.5  92.2 110.6  84.5 115.8 112.2 106.3 110.3  99.5
 153.9 179.9 187.5 187.  267.4 340.2 387.3 384.5 317.1 456.2 264.1 345.
 296.5 419.4 315.2 272.9 302.9 411.3 290.7 295.  327.3 274.8 339.8 298.
 359.4 309.6 242.9 243.5 260.6 225.8 285.9 260.2 264.7 235.6 335.5 374.4
 410.1 341.9 302.  311.8 324.8 472.5 478.1 407.4 614.9 457.1 603.5 579.
 637.6 558.9 579.5 504.7 445.5 524.2 648.  461.8 449.  554.7 468.  448.5
 651.4 655.2 598.6 561.3 578.7 676.3 420.7 427.  399.7 364.5 335.9 237.5]",56,344.84,67.42,409.03,428.78,-1,-1,8.3334897580415e-06,4.30717117700889e-06,2.28409543633461e-05,0,1.6122043132781983e-06,2.4453158676624298e-05,Italy,emilia-romagna,8
"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.7  21.   32.6  27.3  43.3  56.6  62.5 110.4 137.6
 248.6 297.  273.1 290.2 399.3 535.  578.  461.4 587.  572.8 316.6 745.5
 740.5 791.4 694.  656.6 671.1 676.  670.4 694.1 390.4 742.2 681.5 460.9
 638.7 375.8 667.  533.  623.7 645.2 654.8 664.1 675.5 658.6 675.7 675.2
 428.9 328.7 587.  524.8 506.1 513.5 349.6 254.2 155.8 114.6 113.9 152.5
 301.1 230.   92.4  73.1  66.1  32.7  32.5  13.3  26.1  20.6  21.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[113.1 134.3 132.7 119.5 112.  131.3 112.5 118.9 134.3  92.1  94.8  99.9
 107.9 100.  124.4  91.5  92.2 110.6  84.5 115.8 112.2 106.3 110.3  99.5
 153.9 179.9 187.5 187.  267.4 340.2 387.3 384.5 317.1 456.2 264.1 345.
 296.5 419.4 315.2 272.9 302.9 411.3 290.7 295.  327.3 274.8 339.8 298.
 359.4 309.6 242.9 243.5 260.6 225.8 285.9 260.2 264.7 235.6 335.5 374.4
 410.1 341.9 302.  311.8 324.8 472.5 478.1 407.4 614.9 457.1 603.5 579.
 637.6 558.9 579.5 504.7 445.5 524.2 648.  461.8 449.  554.7 468.  448.5
 651.4 655.2 598.6 561.3 578.7 676.3 420.7 427.  399.7 364.5 335.9 237.5]",57,344.84,69.68,413.65,433.6,-1,-1,1.0096832506965996e-05,4.307186627967096e-06,2.767401354180442e-05,0,1.953364014625549e-06,2.962737755642997e-05,Italy,emilia-romagna,8
"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.7  21.   32.6  27.3  43.3  56.6  62.5 110.4 137.6
 248.6 297.  273.1 290.2 399.3 535.  578.  461.4 587.  572.8 316.6 745.5
 740.5 791.4 694.  656.6 671.1 676.  670.4 694.1 390.4 742.2 681.5 460.9
 638.7 375.8 667.  533.  623.7 645.2 654.8 664.1 675.5 658.6 675.7 675.2
 428.9 328.7 587.  524.8 506.1 513.5 349.6 254.2 155.8 114.6 113.9 152.5
 301.1 230.   92.4  73.1  66.1  32.7  32.5  13.3  26.1  20.6  21.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[113.1 134.3 132.7 119.5 112.  131.3 112.5 118.9 134.3  92.1  94.8  99.9
 107.9 100.  124.4  91.5  92.2 110.6  84.5 115.8 112.2 106.3 110.3  99.5
 153.9 179.9 187.5 187.  267.4 340.2 387.3 384.5 317.1 456.2 264.1 345.
 296.5 419.4 315.2 272.9 302.9 411.3 290.7 295.  327.3 274.8 339.8 298.
 359.4 309.6 242.9 243.5 260.6 225.8 285.9 260.2 264.7 235.6 335.5 374.4
 410.1 341.9 302.  311.8 324.8 472.5 478.1 407.4 614.9 457.1 603.5 579.
 637.6 558.9 579.5 504.7 445.5 524.2 648.  461.8 449.  554.7 468.  448.5
 651.4 655.2 598.6 561.3 578.7 676.3 420.7 427.  399.7 364.5 335.9 237.5]",58,344.84,70.44,418.28,438.5,-1,-1,8.573825790542364e-06,4.307171771285875e-06,2.349967857201894e-05,0,1.658703883488973e-06,2.515838245550792e-05,Italy,emilia-romagna,8
"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.7  21.   32.6  27.3  43.3  56.6  62.5 110.4 137.6
 248.6 297.  273.1 290.2 399.3 535.  578.  461.4 587.  572.8 316.6 745.5
 740.5 791.4 694.  656.6 671.1 676.  670.4 694.1 390.4 742.2 681.5 460.9
 638.7 375.8 667.  533.  623.7 645.2 654.8 664.1 675.5 658.6 675.7 675.2
 428.9 328.7 587.  524.8 506.1 513.5 349.6 254.2 155.8 114.6 113.9 152.5
 301.1 230.   92.4  73.1  66.1  32.7  32.5  13.3  26.1  20.6  21.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[113.1 134.3 132.7 119.5 112.  131.3 112.5 118.9 134.3  92.1  94.8  99.9
 107.9 100.  124.4  91.5  92.2 110.6  84.5 115.8 112.2 106.3 110.3  99.5
 153.9 179.9 187.5 187.  267.4 340.2 387.3 384.5 317.1 456.2 264.1 345.
 296.5 419.4 315.2 272.9 302.9 411.3 290.7 295.  327.3 274.8 339.8 298.
 359.4 309.6 242.9 243.5 260.6 225.8 285.9 260.2 264.7 235.6 335.5 374.4
 410.1 341.9 302.  311.8 324.8 472.5 478.1 407.4 614.9 457.1 603.5 579.
 637.6 558.9 579.5 504.7 445.5 524.2 648.  461.8 449.  554.7 468.  448.5
 651.4 655.2 598.6 561.3 578.7 676.3 420.7 427.  399.7 364.5 335.9 237.5]",59,344.84,71.91,418.91,442.66,-1,-1,8.646583863841294e-06,4.307174572540872e-06,2.369909750090705e-05,0,1.672780712445577e-06,2.5371878213352627e-05,Italy,emilia-romagna,8
"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.7  21.   32.6  27.3  43.3  56.6  62.5 110.4 137.6
 248.6 297.  273.1 290.2 399.3 535.  578.  461.4 587.  572.8 316.6 745.5
 740.5 791.4 694.  656.6 671.1 676.  670.4 694.1 390.4 742.2 681.5 460.9
 638.7 375.8 667.  533.  623.7 645.2 654.8 664.1 675.5 658.6 675.7 675.2
 428.9 328.7 587.  524.8 506.1 513.5 349.6 254.2 155.8 114.6 113.9 152.5
 301.1 230.   92.4  73.1  66.1  32.7  32.5  13.3  26.1  20.6  21.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[113.1 134.3 132.7 119.5 112.  131.3 112.5 118.9 134.3  92.1  94.8  99.9
 107.9 100.  124.4  91.5  92.2 110.6  84.5 115.8 112.2 106.3 110.3  99.5
 153.9 179.9 187.5 187.  267.4 340.2 387.3 384.5 317.1 456.2 264.1 345.
 296.5 419.4 315.2 272.9 302.9 411.3 290.7 295.  327.3 274.8 339.8 298.
 359.4 309.6 242.9 243.5 260.6 225.8 285.9 260.2 264.7 235.6 335.5 374.4
 410.1 341.9 302.  311.8 324.8 472.5 478.1 407.4 614.9 457.1 603.5 579.
 637.6 558.9 579.5 504.7 445.5 524.2 648.  461.8 449.  554.7 468.  448.5
 651.4 655.2 598.6 561.3 578.7 676.3 420.7 427.  399.7 364.5 335.9 237.5]",60,344.84,73.4,423.79,444.23,-1,-1,8.77312254323244e-06,4.307178455643093e-06,2.404592037200928e-05,0,1.6972633202870683e-06,2.5743183692296343e-05,Italy,emilia-romagna,8
"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.7  21.   32.6  27.3  43.3  56.6  62.5 110.4 137.6
 248.6 297.  273.1 290.2 399.3 535.  578.  461.4 587.  572.8 316.6 745.5
 740.5 791.4 694.  656.6 671.1 676.  670.4 694.1 390.4 742.2 681.5 460.9
 638.7 375.8 667.  533.  623.7 645.2 654.8 664.1 675.5 658.6 675.7 675.2
 428.9 328.7 587.  524.8 506.1 513.5 349.6 254.2 155.8 114.6 113.9 152.5
 301.1 230.   92.4  73.1  66.1  32.7  32.5  13.3  26.1  20.6  21.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[113.1 134.3 132.7 119.5 112.  131.3 112.5 118.9 134.3  92.1  94.8  99.9
 107.9 100.  124.4  91.5  92.2 110.6  84.5 115.8 112.2 106.3 110.3  99.5
 153.9 179.9 187.5 187.  267.4 340.2 387.3 384.5 317.1 456.2 264.1 345.
 296.5 419.4 315.2 272.9 302.9 411.3 290.7 295.  327.3 274.8 339.8 298.
 359.4 309.6 242.9 243.5 260.6 225.8 285.9 260.2 264.7 235.6 335.5 374.4
 410.1 341.9 302.  311.8 324.8 472.5 478.1 407.4 614.9 457.1 603.5 579.
 637.6 558.9 579.5 504.7 445.5 524.2 648.  461.8 449.  554.7 468.  448.5
 651.4 655.2 598.6 561.3 578.7 676.3 420.7 427.  399.7 364.5 335.9 237.5]",61,344.84,74.82,429.61,451.98,-1,-1,8.887213711232543e-06,4.3071915353264765e-06,2.435860418611103e-05,0,1.7193599541982017e-06,2.607796414030923e-05,Italy,emilia-romagna,8
"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.   10.7  21.   32.6  27.3  43.3  56.6  62.5 110.4 137.6
 248.6 297.  273.1 290.2 399.3 535.  578.  461.4 587.  572.8 316.6 745.5
 740.5 791.4 694.  656.6 671.1 676.  670.4 694.1 390.4 742.2 681.5 460.9
 638.7 375.8 667.  533.  623.7 645.2 654.8 664.1 675.5 658.6 675.7 675.2
 428.9 328.7 587.  524.8 506.1 513.5 349.6 254.2 155.8 114.6 113.9 152.5
 301.1 230.   92.4  73.1  66.1  32.7  32.5  13.3  26.1  20.6  21.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0. ]","[113.1 134.3 132.7 119.5 112.  131.3 112.5 118.9 134.3  92.1  94.8  99.9
 107.9 100.  124.4  91.5  92.2 110.6  84.5 115.8 112.2 106.3 110.3  99.5
 153.9 179.9 187.5 187.  267.4 340.2 387.3 384.5 317.1 456.2 264.1 345.
 296.5 419.4 315.2 272.9 302.9 411.3 290.7 295.  327.3 274.8 339.8 298.
 359.4 309.6 242.9 243.5 260.6 225.8 285.9 260.2 264.7 235.6 335.5 374.4
 410.1 341.9 302.  311.8 324.8 472.5 478.1 407.4 614.9 457.1 603.5 579.
 637.6 558.9 579.5 504.7 445.5 524.2 648.  461.8 449.  554.7 468.  448.5
 651.4 655.2 598.6 561.3 578.7 676.3 420.7 427.  399.7 364.5 335.9 237.5]",62,345.6,76.37,434.76,455.73,-1,-1,9.098133925884964e-06,4.30717607049473e-06,2.4936733312076992e-05,0,1.7601390679677326e-06,2.6696872380044725e-05,Italy,emilia-romagna,8
